GJ 667 C d,Confirmed,,,0.044371,0.276,2012,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,,20.29
GJ 667 C e,Confirmed,,,,0.213,2013,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,,Отсутствует значение углового расстояния
GJ 667 C f,Confirmed,,,,0.156,2013,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,,Отсутствует значение углового расстояния
GJ 667 C g,Confirmed,,,,0.549,2013,Published in a refereed paper,Radial Velocity,,,GJ 667 C,6.84,0.33,,Отсутствует значение углового расстояния
LTT 1445A b,Confirmed,0.0264,0.120400,,0.03807,2019,Published in a refereed paper,Primary Transit,,,LTT 1445A,6.9,0.256,0.27,Отсутствует значение углового расстояния
HD 95872 b,Confirmed,,,,5.2,2015,Published in a refereed paper,Radial Velocity,,,HD 95872,7.56,0.95,,Отсутствует значение углового расстояния
Fomalhaut b,Confirmed,3,,14.92731,115,2008,Published in a refereed paper,Imaging,,,Fomalhaut,7.704,1.92,1.842,25.13
Gl 686 b,Confirmed,,,,0.0912,2019,Published in a refereed paper,Radial Velocity,"GJ 686 b, BD+18 3421 b",,Gl 686,8.1593,0.42,0.42,Отсутствует значение углового расстояния
61 Vir b,Confirmed,,,0.005892,0.050201,2009,Published in a refereed paper,Radial Velocity,,,61 Vir,8.52,0.95,0.94,27.79
61 Vir c,Confirmed,,,0.025528,0.2175,2009,Published in a refereed paper,Radial Velocity,,,61 Vir,8.52,0.95,0.94,27.79
61 Vir d,Confirmed,,,0.055869,0.476,2009,Published in a refereed paper,Radial Velocity,,,61 Vir,8.52,0.95,0.94,27.79
HD 332231 b,Confirmed,0.244,0.867000,,0.1436,2020,Submitted to a professional journal,Primary Transit,,,HD 332231,8.56,1.127,1.277,Отсутствует значение углового расстояния
WISE 1118+3125,Confirmed,26,,,,2013,Published in a refereed paper,Imaging,WISE J111838.70+312537.9,,,8.8,,,Отсутствуют оба значения
GJ 785 b,Confirmed,,,0.035911,0.32,2010,Published in a refereed paper,Radial Velocity,HD 192310 b,,GJ 785,8.911,0.78,0.68,29.06
GJ 785 c,Confirmed,,,0.133787,1.18,2011,Published in a refereed paper,Radial Velocity,HD 192310 c,,GJ 785,8.911,0.78,0.68,28.77
GJ 433 b,Confirmed,,,0.006416,0.062,2009,Published in a refereed paper,Radial Velocity,,,GJ 433,9.04,0.48,,31.52
GJ 433 c,Confirmed,,,0.39823,4.692,2012,Published in a refereed paper,Radial Velocity,,,GJ 433,9.04,0.48,,38.43
GJ 433 d,Confirmed,,,,0.178,2020,Published in a refereed paper,Radial Velocity,,,GJ 433,9.04,0.48,,Отсутствует значение углового расстояния
GJ 849 b,Confirmed,,,0.267045,2.35,2006,Published in a refereed paper,Radial Velocity,,,GJ 849,9.1,0.49,0.52,28.7
GJ 849 c,Confirmed,,,,,2013,Published in a refereed paper,Radial Velocity,,,GJ 849,9.1,0.49,0.52,Отсутствуют оба значения
HD 102365 A b,Confirmed,,,0.049784,0.46,2011,Published in a refereed paper,Radial Velocity,HD 102365 b,,HD 102365 A,9.24,0.85,,30.14
WISE J0458+6434  A,Confirmed,57,,,1,2019,Published in a refereed paper,Astrometry,WISEP J045853.90+643452 A,"CH4, H2O",,9.24,,,Отсутствует значение углового расстояния
WISE J0458+6434 B,Confirmed,14,,,4,2019,Published in a refereed paper,Astrometry,WISEP J045853.90+643452 B,,,9.24,,,Отсутствует значение углового расстояния
GJ 176 b,Confirmed,,,0.007006,0.066,2007,Submitted to a professional journal,Radial Velocity,,,GJ 176,9.42,0.49,0.53,30.73
GJ 176 c,Confirmed,,,0.019108,0.146,2009,Published in a refereed paper,Radial Velocity,,,GJ 176,9.42,0.49,0.53,24.92
GJ 357 b,Confirmed,0.006566,0.104110,,0.033,2019,Published in a refereed paper,Primary Transit,TOI-562.01,,GJ 357,9.444,0.342,0.337,Отсутствует значение углового расстояния
GJ 357 c,Confirmed,,,,0.0607,2019,Published in a refereed paper,Radial Velocity,,,GJ 357,9.444,0.342,0.337,Отсутствует значение углового расстояния
GJ 357 d,Confirmed,,,,0.204,2019,Published in a refereed paper,Radial Velocity,,,GJ 357,9.444,0.342,0.337,Отсутствует значение углового расстояния
GJ 3512 b,Confirmed,,,,0.338,2019,Published in a refereed paper,Radial Velocity,,,GJ 3512,9.489,0.123,0.139,Отсутствует значение углового расстояния
