Название,Статус ,Масса,Радиус,Угловая скорость (angular_distance),Большая полуось (semi_major_axis),Открытие,Опубликованность,Тип обнаружения,Альтернативное имя,Обнаруженные молекулы,Звезда-хост,Расстояние до звезды-хоста,Масса звезды,Радиус звезды
Kepler-680 b,Confirmed,,0.216,,,2016,Announced on a website,Primary Transit,,,Kepler-680,1342,1.08,1.11
Kepler-681 b,Confirmed,,0.275,,,2016,Announced on a website,Primary Transit,,,Kepler-681,666,0.8,0.76
Kepler-682 b,Confirmed,,0.658,,,2016,Announced on a website,Primary Transit,,,Kepler-682,951,0.92,0.89
Kepler-683 b,Confirmed,,0.176,,,2016,Announced on a website,Primary Transit,,,Kepler-683,976,0.96,0.95
Kepler-684 b,Confirmed,,0.3,,,2016,Announced on a website,Primary Transit,,,Kepler-684,1066,0.89,0.86
Kepler-685 b,Confirmed,,0.944,,,2016,Announced on a website,Primary Transit,,,Kepler-685,1145,1.11,1.16
Kepler-686 b,Confirmed,,1.084,,,2016,Announced on a website,Primary Transit,,,Kepler-686,1203,0.94,0.92
Kepler-687 b,Confirmed,,0.314,,,2016,Announced on a website,Primary Transit,,,Kepler-687,628,0.77,0.73
Kepler-688 b,Confirmed,,0.871,,,2016,Announced on a website,Primary Transit,,,Kepler-688,1247,0.98,0.96
Kepler-689 b,Confirmed,,0.258,,,2016,Announced on a website,Primary Transit,,,Kepler-689,1044,0.91,0.88
Kepler-69 b,Confirmed,,0.199,,0.094,2013,Published in a refereed paper,Primary Transit,,,Kepler-69,,0.81,0.93
Kepler-69 c,Confirmed,,0.153,,0.64,2013,Published in a refereed paper,Primary Transit,,,Kepler-69,,0.81,0.93
Kepler-690 b,Confirmed,,0.531,,,2016,Announced on a website,Primary Transit,,,Kepler-690,1653,1.11,1.16
Kepler-691 b,Confirmed,,0.186,,,2016,Announced on a website,Primary Transit,,,Kepler-691,239,0.53,0.5
Kepler-692 b,Confirmed,,0.277,,,2016,Announced on a website,Primary Transit,,,Kepler-692,1000,0.9,0.86
Kepler-693 A b,Confirmed,,0.908,,,2016,Announced on a website,Primary Transit,Kepler-693 b,,Kepler-693 A,1002,0.76,0.72
Kepler-694 b,Confirmed,,0.25,,,2016,Announced on a website,Primary Transit,,,Kepler-694,1023,0.97,0.95
Kepler-695 b,Confirmed,,0.822,,,2016,Announced on a website,Primary Transit,,,Kepler-695,620,0.84,0.8
Kepler-696 b,Confirmed,,0.548,,,2016,Announced on a website,Primary Transit,,,Kepler-696,1285,1.06,1.08
Kepler-697 b,Confirmed,,0.368,,,2016,Announced on a website,Primary Transit,,,Kepler-697,1091,0.92,0.88
Kepler-698 b,Confirmed,,0.328,,,2016,Announced on a website,Primary Transit,,,Kepler-698,1135,0.94,0.91
Kepler-699 b,Confirmed,,1.259,,,2016,Announced on a website,Primary Transit,,,Kepler-699,888,0.81,0.78
Kepler-7 b,Confirmed,0.433,1.614,,0.06246,2010,Published in a refereed paper,Primary Transit,,,Kepler-7,,1.36,2.02
Kepler-70 b,Confirmed,0.00138,0.068,5.00E-06,0.006,2011,Published in a refereed paper,Timing,KOI-55 b,,Kepler-70,1180,0.496,0.203
Kepler-70 c,Confirmed,0.0021,0.078,6.00E-06,0.0076,2011,Published in a refereed paper,Timing,KOI-55 c,,Kepler-70,1180,0.496,0.203
Kepler-700 b,Confirmed,,0.534,,,2016,Announced on a website,Primary Transit,,,Kepler-700,1061,0.98,0.96
Kepler-701 b,Confirmed,,0.253,,,2016,Announced on a website,Primary Transit,,,Kepler-701,755,0.88,0.84
Kepler-702 b,Confirmed,,0.818,,,2016,Announced on a website,Primary Transit,,,Kepler-702,892,0.9,0.86
Kepler-703 b,Confirmed,,0.732,,,2016,Announced on a website,Primary Transit,,,Kepler-703,1482,1.18,1.27
Kepler-704 b,Confirmed,,0.233,,,2016,Announced on a website,Primary Transit,,,Kepler-704,1054,0.97,0.96
Kepler-705 b,Confirmed,,0.188,,,2016,Announced on a website,Primary Transit,,,Kepler-705,251,0.53,0.51
Kepler-706 b,Confirmed,,1.175,,,2016,Announced on a website,Primary Transit,,,Kepler-706,810,0.87,0.84
Kepler-707 b,Confirmed,,0.119,,,2016,Announced on a website,Primary Transit,,,Kepler-707,626,0.8,0.76
Kepler-708 b,Confirmed,,0.261,,,2016,Announced on a website,Primary Transit,,,Kepler-708,1241,0.97,0.96
Kepler-709 b,Confirmed,,0.261,,,2016,Announced on a website,Primary Transit,,,Kepler-709,668,0.8,0.77
Kepler-71 b,Confirmed,,1.0452,,0.047,2013,Announced on a website,Primary Transit,,,Kepler-71,,0.923,0.816
Kepler-710 b,Confirmed,,0.168,,,2016,Announced on a website,Primary Transit,,,Kepler-710,919,0.94,0.91
Kepler-711 b,Confirmed,,0.304,,,2016,Announced on a website,Primary Transit,,,Kepler-711,664,0.84,0.8
Kepler-712 b,Confirmed,,0.304,,,2016,Announced on a website,Primary Transit,,,Kepler-712,944,0.84,0.78
Kepler-712 c,Confirmed,,0.433,,,2016,Announced on a website,Primary Transit,,,Kepler-712,944,0.84,0.78
Kepler-713 b,Confirmed,,0.221,,,2016,Announced on a website,Primary Transit,,,Kepler-713,1003,0.98,0.99
Kepler-714 b,Confirmed,,0.863,,,2016,Announced on a website,Primary Transit,,,Kepler-714,1460,1.09,1.12
Kepler-715 b,Confirmed,,0.335,,,2016,Announced on a website,Primary Transit,,,Kepler-715,1214,1.04,1.04
Kepler-716 b,Confirmed,,0.259,,,2016,Announced on a website,Primary Transit,,,Kepler-716,675,0.83,0.78
Kepler-717 b,Confirmed,,0.216,,,2016,Announced on a website,Primary Transit,,,Kepler-717,1126,0.88,0.85
Kepler-718 b,Confirmed,,1.477,,,2016,Announced on a website,Primary Transit,,,Kepler-718,1520,1.18,1.3
Kepler-719 b,Confirmed,,0.76,,,2016,Announced on a website,Primary Transit,,,Kepler-719,1427,0.99,0.98
Kepler-720 b,Confirmed,,0.75,,,2016,Announced on a website,Primary Transit,,,Kepler-720,880,0.95,0.92
Kepler-721 b,Confirmed,,0.236,,,2016,Announced on a website,Primary Transit,,,Kepler-721,848,0.82,0.78
Kepler-722 b,Confirmed,,0.235,,,2016,Announced on a website,Primary Transit,,,Kepler-722,1375,1.03,1.05
Kepler-722 c,Confirmed,,0.252,,,2016,Announced on a website,Primary Transit,,,Kepler-722,1375,1.03,1.05
Kepler-723 b,Confirmed,,1.088,,,2016,Announced on a website,Primary Transit,,,Kepler-723,965,0.92,0.89
Kepler-724 b,Confirmed,,0.294,,,2016,Announced on a website,Primary Transit,,,Kepler-724,862,0.9,0.86
Kepler-725 b,Confirmed,,0.948,,,2016,Announced on a website,Primary Transit,,,Kepler-725,778,0.88,0.84
Kepler-726 b,Confirmed,,0.291,,,2016,Announced on a website,Primary Transit,,,Kepler-726,838,0.88,0.85
Kepler-727 b,Confirmed,,0.226,,,2016,Announced on a website,Primary Transit,,,Kepler-727,892,0.89,0.86
Kepler-728 b,Confirmed,,0.298,,,2016,Announced on a website,Primary Transit,,,Kepler-728,1236,0.95,0.93
Kepler-729 b,Confirmed,,0.319,,,2016,Announced on a website,Primary Transit,,,Kepler-729,1271,0.94,0.91
Kepler-730 b,Confirmed,,1.1,,0.0694,2016,Announced on a website,Primary Transit,,,Kepler-730,1455,1,1.01
Kepler-730 c,Confirmed,,0.14,,0.03997,2018,Published in a refereed paper,Primary Transit,,,Kepler-730,1455,1,1.01
Kepler-731 b,Confirmed,,1.238,,,2016,Announced on a website,Primary Transit,,,Kepler-731,1311,1.03,1.06
Kepler-732 b,Confirmed,,0.194,,,2016,Announced on a website,Primary Transit,,,Kepler-732,150,0.49,0.46
Kepler-732 c,Confirmed,,0.113,,,2016,Announced on a website,Primary Transit,,,Kepler-732,150,0.49,0.46
Kepler-733 b,Confirmed,,0.252,,,2016,Announced on a website,Primary Transit,,,Kepler-733,980,0.9,0.86
Kepler-734 b,Confirmed,,0.318,,,2016,Announced on a website,Primary Transit,,,Kepler-734,553,0.85,0.78
Kepler-735 b,Confirmed,,0.263,,,2016,Announced on a website,Primary Transit,,,Kepler-735,790,0.85,0.8
Kepler-736 b,Confirmed,,0.261,,,2016,Announced on a website,Primary Transit,,,Kepler-736,1007,0.86,0.81
Kepler-737 b,Confirmed,,0.175,,,2016,Announced on a website,Primary Transit,,,Kepler-737,195,0.51,0.48
Kepler-738 b,Confirmed,,0.223,,,2016,Announced on a website,Primary Transit,,,Kepler-738,992,0.86,0.82
Kepler-739 b,Confirmed,,0.296,,,2016,Announced on a website,Primary Transit,,,Kepler-739,1128,0.93,0.9
Kepler-74 b,Confirmed,0.68,1.32,,0.084,2012,Published in a refereed paper,Primary Transit,KOI-200 b,,Kepler-74,1330,1.4,1.51
Kepler-740 b,Confirmed,,0.408,,,2016,Announced on a website,Primary Transit,,,Kepler-740,1262,0.91,0.87
Kepler-741 b,Confirmed,,0.265,,,2016,Announced on a website,Primary Transit,,,Kepler-741,1530,1.16,1.24
Kepler-742 b,Confirmed,,0.289,,,2016,Announced on a website,Primary Transit,,,Kepler-742,499,0.76,0.71
Kepler-743 b,Confirmed,,0.108,,,2016,Announced on a website,Primary Transit,,,Kepler-743,258,0.94,0.85
Kepler-744 b,Confirmed,,0.145,,,2016,Announced on a website,Primary Transit,,,Kepler-744,486,0.94,0.93
Kepler-745 b,Confirmed,,0.193,,,2016,Announced on a website,Primary Transit,,,Kepler-745,1199,1.04,1.04
Kepler-746 b,Confirmed,,0.099,,,2016,Announced on a website,Primary Transit,,,Kepler-746,450,0.91,0.93
Kepler-747 b,Confirmed,,0.47,,,2016,Announced on a website,Primary Transit,,,Kepler-747,855,0.82,0.78
Kepler-748 b,Confirmed,,0.225,,,2016,Announced on a website,Primary Transit,,,Kepler-748,1271,1.07,1.1
Kepler-749 b,Confirmed,,0.277,,,2016,Announced on a website,Primary Transit,,,Kepler-749,753,0.79,0.75
Kepler-75 b,Confirmed,9.9,1.03,,0.08,2013,Published in a refereed paper,Primary Transit,KOI-889 b,,Kepler-75,1140,0.88,0.88
Kepler-750 b,Confirmed,,0.274,,,2016,Announced on a website,Primary Transit,,,Kepler-750,1181,1.15,1.23
Kepler-750 c,Confirmed,,0.145,,,2016,Announced on a website,Primary Transit,,,Kepler-750,1181,1.15,1.23
Kepler-751 b,Confirmed,,0.219,,,2016,Announced on a website,Primary Transit,,,Kepler-751,748,0.87,0.84
Kepler-752 b,Confirmed,,0.251,,,2016,Announced on a website,Primary Transit,,,Kepler-752,1075,0.87,0.83
Kepler-753 b,Confirmed,,0.17,,,2016,Announced on a website,Primary Transit,,,Kepler-753,278,0.68,0.65
Kepler-754 b,Confirmed,,0.179,,,2016,Announced on a website,Primary Transit,,,Kepler-754,1192,1.06,1.08
Kepler-755 b,Confirmed,,0.157,,,2016,Announced on a website,Primary Transit,,,Kepler-755,368,0.82,0.77
Kepler-755 c,Confirmed,,0.112,,,2016,Announced on a website,Primary Transit,,,Kepler-755,368,0.82,0.77
Kepler-756 b,Confirmed,,0.1,,,2016,Announced on a website,Primary Transit,,,Kepler-756,852,0.82,0.79
Kepler-757 b,Confirmed,,0.121,,,2016,Announced on a website,Primary Transit,,,Kepler-757,1016,1.08,1.13
Kepler-758 b,Confirmed,,0.221,,,2016,Announced on a website,Primary Transit,,,Kepler-758,1353,1.16,1.42
Kepler-758 c,Confirmed,,0.151,,,2016,Announced on a website,Primary Transit,,,Kepler-758,1353,1.16,1.42
Kepler-758 d,Confirmed,,0.189,,,2016,Announced on a website,Primary Transit,,,Kepler-758,1353,1.16,1.42
Kepler-758 e,Confirmed,,0.136,,,2016,Announced on a website,Primary Transit,,,Kepler-758,1353,1.16,1.42
Kepler-759 b,Confirmed,,0.203,,,2016,Announced on a website,Primary Transit,,,Kepler-759,892,1.04,1.04
Kepler-76 b,Confirmed,1.96,1.25,,0.028,2013,Published in a refereed paper,Primary Transit,,,Kepler-76,,1.2,1.12
Kepler-760 b,Confirmed,,0.273,,,2016,Announced on a website,Primary Transit,,,Kepler-760,782,0.89,0.85
Kepler-760 c,Confirmed,,0.132,,,2016,Announced on a website,Primary Transit,,,Kepler-760,782,0.89,0.85
Kepler-761 b,Confirmed,,0.181,,,2016,Announced on a website,Primary Transit,,,Kepler-761,867,0.95,0.93
Kepler-762 b,Confirmed,,1.131,,,2016,Announced on a website,Primary Transit,,,Kepler-762,1465,1.06,1.08
Kepler-763 b,Confirmed,,0.109,,,2016,Announced on a website,Primary Transit,,,Kepler-763,902,0.84,0.8
Kepler-764 b,Confirmed,,0.146,,,2016,Announced on a website,Primary Transit,,,Kepler-764,1013,0.92,0.89
Kepler-765 b,Confirmed,,0.217,,,2016,Announced on a website,Primary Transit,,,Kepler-765,1000,1.05,1.06
Kepler-766 b,Confirmed,,0.302,,,2016,Announced on a website,Primary Transit,,,Kepler-766,1614,1.1,1.15
Kepler-767 b,Confirmed,,0.592,,,2016,Announced on a website,Primary Transit,,,Kepler-767,1185,0.96,0.94
Kepler-768 b,Confirmed,,0.16,,,2016,Announced on a website,Primary Transit,,,Kepler-768,795,0.82,0.78
Kepler-769 b,Confirmed,,0.261,,,2016,Announced on a website,Primary Transit,,,Kepler-769,1362,1.19,1.28
Kepler-769 c,Confirmed,,0.16,,,2016,Announced on a website,Primary Transit,,,Kepler-769,1362,1.19,1.28
Kepler-77 b,Confirmed,0.43,0.96,,0.04501,2013,Published in a refereed paper,Primary Transit,,,Kepler-77,570,0.95,0.99
Kepler-770 b,Confirmed,,0.205,,,2016,Announced on a website,Primary Transit,,,Kepler-770,761,0.94,0.92
Kepler-770 c,Confirmed,,0.107,,,2016,Announced on a website,Primary Transit,,,Kepler-770,761,0.94,0.92
Kepler-770 d,Confirmed,,0.125,,,2016,Announced on a website,Primary Transit,,,Kepler-770,761,0.94,0.92
Kepler-771 b,Confirmed,,0.162,,,2016,Announced on a website,Primary Transit,,,Kepler-771,1000,1.03,1.05
Kepler-772 b,Confirmed,,0.162,,,2016,Announced on a website,Primary Transit,,,Kepler-772,689,0.98,1.11
Kepler-773 b,Confirmed,,0.128,,,2016,Announced on a website,Primary Transit,,,Kepler-773,528,1.04,1.01
Kepler-774 b,Confirmed,,0.283,,,2016,Announced on a website,Primary Transit,,,Kepler-774,1190,1.57,2.42
Kepler-775 b,Confirmed,,0.106,,,2016,Announced on a website,Primary Transit,,,Kepler-775,400,0.92,0.84
Kepler-776 b,Confirmed,,0.114,,,2016,Announced on a website,Primary Transit,,,Kepler-776,727,0.83,0.78
Kepler-777 b,Confirmed,,0.131,,,2016,Announced on a website,Primary Transit,,,Kepler-777,383,0.58,0.56
Kepler-778 b,Confirmed,,0.15,,,2016,Announced on a website,Primary Transit,,,Kepler-778,899,0.81,0.77
Kepler-779 b,Confirmed,,0.082,,,2016,Announced on a website,Primary Transit,,,Kepler-779,224,0.46,0.44
Kepler-78 b,Confirmed,0.005317308,0.10705702,,0.01,2013,Published in a refereed paper,Primary Transit,,,Kepler-78,,0.81,0.74
Kepler-780 b,Confirmed,,0.079,,,2016,Announced on a website,Primary Transit,,,Kepler-780,520,1.01,1.02
Kepler-781 b,Confirmed,,0.258,,,2016,Announced on a website,Primary Transit,,,Kepler-781,1036,0.81,0.78
Kepler-782 b,Confirmed,,0.286,,,2016,Announced on a website,Primary Transit,,,Kepler-782,412,0.98,1.01
Kepler-783 b,Confirmed,,0.07,,,2016,Announced on a website,Primary Transit,,,Kepler-783,544,0.93,0.89
Kepler-784 b,Confirmed,,0.141,,,2016,Announced on a website,Primary Transit,,,Kepler-784,604,1,1.32
Kepler-785 b,Confirmed,,1.162,,,2016,Announced on a website,Primary Transit,,,Kepler-785,666,0.77,0.71
Kepler-786 b,Confirmed,,0.217,,,2016,Announced on a website,Primary Transit,,,Kepler-786,512,0.81,0.74
Kepler-787 b,Confirmed,,0.114,,,2016,Announced on a website,Primary Transit,,,Kepler-787,468,0.65,0.62
Kepler-788 b,Confirmed,,0.227,,,2016,Announced on a website,Primary Transit,,,Kepler-788,1649,1.16,1.23
Kepler-789 b,Confirmed,,0.189,,,2016,Announced on a website,Primary Transit,,,Kepler-789,915,1.01,1.02
Kepler-79 b,Confirmed,0.034285,0.309568,,0.117,2013,Announced on a website,Primary Transit,,,Kepler-79,,1.165,1.302
Kepler-79 c,Confirmed,0.018558,0.332,,0.187,2013,Published in a refereed paper,Primary Transit,,,Kepler-79,,1.165,1.302
Kepler-79 d,Confirmed,0.018872,0.64,,0.287,2013,Announced on a website,Primary Transit,,,Kepler-79,,1.165,1.302
Kepler-79 e,Confirmed,0.0129,0.312,,0.386,2013,Announced on a website,Primary Transit,,,Kepler-79,,1.165,1.302
Kepler-790 b,Confirmed,,0.194,,,2016,Announced on a website,Primary Transit,,,Kepler-790,727,0.84,0.8
Kepler-791 b,Confirmed,,0.272,,,2016,Announced on a website,Primary Transit,,,Kepler-791,1447,1.3,1.47
Kepler-792 b,Confirmed,,0.175,,,2016,Announced on a website,Primary Transit,,,Kepler-792,1205,1.09,1.12
Kepler-793 b,Confirmed,,0.122,,,2016,Announced on a website,Primary Transit,,,Kepler-793,794,0.98,0.97
Kepler-794 b,Confirmed,,0.188,,,2016,Announced on a website,Primary Transit,,,Kepler-794,763,1.19,1.38
Kepler-795 b,Confirmed,,0.15,,,2016,Announced on a website,Primary Transit,,,Kepler-795,458,0.94,0.96
Kepler-796 b,Confirmed,,0.116,,,2016,Announced on a website,Primary Transit,,,Kepler-796,377,0.93,1.09
Kepler-797 b,Confirmed,,0.194,,,2016,Announced on a website,Primary Transit,,,Kepler-797,752,0.96,0.95
Kepler-798 b,Confirmed,,0.213,,,2016,Announced on a website,Primary Transit,,,Kepler-798,1085,1.19,1.29
Kepler-799 b,Confirmed,,0.614,,,2016,Announced on a website,Primary Transit,,,Kepler-799,1029,0.95,0.93
Kepler-8 b,Confirmed,0.603,1.419,3.60E-05,0.0483,2010,Announced on a professional conference,Primary Transit,,,Kepler-8,1330,1.213,1.486
Kepler-80 b,Confirmed,0.0218,0.21,,,2012,Published in a refereed paper,Primary Transit,KOI-500 b,,Kepler-80,,,0.738
Kepler-80 c,Confirmed,0.0212,0.23,,,2012,Published in a refereed paper,Primary Transit,KOI-500 c,,Kepler-80,,,0.738
Kepler-80 d,Confirmed,0.0212,0.125,,,2012,Published in a refereed paper,Primary Transit,KOI-500 d,,Kepler-80,,,0.738
Kepler-80 e,Confirmed,0.013,0.134,,,2012,Published in a refereed paper,Primary Transit,KOI-500 e,,Kepler-80,,,0.738
Kepler-80 f,Confirmed,,0.116,,,2012,Published in a refereed paper,Primary Transit,KOI-500 f,,Kepler-80,,,0.738
Kepler-800 b,Confirmed,,0.254,,,2016,Announced on a website,Primary Transit,,,Kepler-800,1049,0.85,0.82
Kepler-801 b,Confirmed,,0.178,,,2016,Announced on a website,Primary Transit,,,Kepler-801,419,0.67,0.63
Kepler-802 b,Confirmed,,0.316,,,2016,Announced on a website,Primary Transit,,,Kepler-802,828,0.93,0.9
Kepler-803 b,Confirmed,,0.338,,,2016,Announced on a website,Primary Transit,,,Kepler-803,615,1.05,1.12
Kepler-804 b,Confirmed,,0.173,,,2016,Announced on a website,Primary Transit,,,Kepler-804,648,1.01,1.05
Kepler-804 c,Confirmed,,0.102,,,2016,Announced on a website,Primary Transit,,,Kepler-804,648,1.01,1.05
Kepler-805 b,Confirmed,,0.258,,,2016,Announced on a website,Primary Transit,,,Kepler-805,657,1.19,1.65
Kepler-806 b,Confirmed,,0.102,,,2016,Announced on a website,Primary Transit,,,Kepler-806,260,0.99,1.16
Kepler-807 b,Confirmed,,0.93,,,2016,Announced on a website,Primary Transit,,,Kepler-807,1312,1.04,1.06
Kepler-808 b,Confirmed,,0.13,,,2016,Announced on a website,Primary Transit,,,Kepler-808,321,0.76,0.71
Kepler-809 b,Confirmed,,0.269,,,2016,Announced on a website,Primary Transit,,,Kepler-809,933,0.99,0.98
Kepler-81 b,Confirmed,,0.2269,,0.056,2013,Announced on a website,Primary Transit,,,Kepler-81,,0.648,0.578
Kepler-81 c,Confirmed,,0.2188,,0.089,2013,Announced on a website,Primary Transit,,,Kepler-81,,0.648,0.578
Kepler-81 d,Confirmed,,0.108,,0.128,2014,Announced on a website,Primary Transit,,,Kepler-81,,0.648,0.578
Kepler-810 b,Confirmed,,0.172,,,2016,Announced on a website,Primary Transit,,,Kepler-810,1554,1.03,1.04
Kepler-811 b,Confirmed,,0.241,,,2016,Announced on a website,Primary Transit,,,Kepler-811,847,1.01,1.24
Kepler-812 b,Confirmed,,0.317,,,2016,Announced on a website,Primary Transit,,,Kepler-812,1482,1.45,1.71
Kepler-813 b,Confirmed,,0.191,,,2016,Announced on a website,Primary Transit,,,Kepler-813,840,0.95,0.93
Kepler-814 b,Confirmed,,0.189,,,2016,Announced on a website,Primary Transit,,,Kepler-814,1327,1.15,1.22
Kepler-815 b,Confirmed,,0.367,,,2016,Announced on a website,Primary Transit,,,Kepler-815,1199,1.25,3.42
Kepler-816 b,Confirmed,,0.914,,,2016,Announced on a website,Primary Transit,,,Kepler-816,1059,0.9,0.85
Kepler-817 b,Confirmed,,0.806,,,2016,Announced on a website,Primary Transit,,,Kepler-817,1401,1.03,1.03
Kepler-818 b,Confirmed,,0.456,,,2016,Announced on a website,Primary Transit,,,Kepler-818,967,0.94,0.92
Kepler-819 b,Confirmed,,0.246,,,2016,Announced on a website,Primary Transit,,,Kepler-819,722,0.86,0.81
Kepler-82 b,Confirmed,,0.367,,0.169,2011,Published in a refereed paper,Primary Transit,KOI-880 b,,Kepler-82,,0.85,0.945
Kepler-82 c,Confirmed,,0.503,,0.264,2011,Published in a refereed paper,Primary Transit,,,Kepler-82,,0.85,0.945
Kepler-82 d,Confirmed,,0.158,,0.034,2011,Published in a refereed paper,Primary Transit,,,Kepler-82,,0.85,0.945
Kepler-82 e,Confirmed,,0.22,,0.063,2011,Published in a refereed paper,Primary Transit,,,Kepler-82,,0.85,0.945
Kepler-82 f,Confirmed,0.0658,,,0.3395,2019,Published in a refereed paper,TTV,,,Kepler-82,,0.85,0.945
Kepler-820 b,Confirmed,,0.543,,,2016,Announced on a website,Primary Transit,,,Kepler-820,989,1.23,1.36
Kepler-821 b,Confirmed,,0.117,,,2016,Announced on a website,Primary Transit,,,Kepler-821,619,0.84,0.8
Kepler-822 b,Confirmed,,0.158,,,2016,Announced on a website,Primary Transit,,,Kepler-822,956,1.06,1.08
Kepler-823 b,Confirmed,,0.14,,,2016,Announced on a website,Primary Transit,,,Kepler-823,896,0.98,0.96
Kepler-824 b,Confirmed,,0.167,,,2016,Announced on a website,Primary Transit,,,Kepler-824,1352,1.15,1.22
Kepler-825 b,Confirmed,,0.136,,,2016,Announced on a website,Primary Transit,,,Kepler-825,820,1.03,1.08
Kepler-825 c,Confirmed,,0.164,,,2016,Announced on a website,Primary Transit,,,Kepler-825,820,1.03,1.08
Kepler-826 b,Confirmed,,0.112,,,2016,Announced on a website,Primary Transit,,,Kepler-826,649,1.05,1.15
Kepler-827 b,Confirmed,,0.502,,,2016,Announced on a website,Primary Transit,,,Kepler-827,1352,0.93,0.91
Kepler-828 b,Confirmed,,0.135,,,2016,Announced on a website,Primary Transit,,,Kepler-828,625,0.81,0.77
Kepler-829 b,Confirmed,,0.188,,,2016,Announced on a website,Primary Transit,,,Kepler-829,954,0.98,0.97
Kepler-83 b,Confirmed,,0.209,,0.078,2013,Announced on a website,Primary Transit,,,Kepler-83,,0.664,0.539
Kepler-83 c,Confirmed,,0.1733,,0.126,2013,Announced on a website,Primary Transit,,,Kepler-83,,0.664,0.539
Kepler-83 d,Confirmed,,0.173,,0.051,2014,Announced on a website,Primary Transit,,,Kepler-83,,0.664,0.539
Kepler-830 b,Confirmed,,0.152,,,2016,Announced on a website,Primary Transit,,,Kepler-830,1122,1.07,1.11
Kepler-831 b,Confirmed,,0.113,,,2016,Announced on a website,Primary Transit,,,Kepler-831,577,0.99,0.97
Kepler-832 b,Confirmed,,0.184,,,2016,Announced on a website,Primary Transit,,,Kepler-832,1346,0.92,0.9
Kepler-833 b,Confirmed,,0.18,,,2016,Announced on a website,Primary Transit,,,Kepler-833,421,0.64,0.62
Kepler-834 b,Confirmed,,0.18,,,2016,Announced on a website,Primary Transit,,,Kepler-834,620,0.7,0.66
Kepler-835 b,Confirmed,,0.249,,,2016,Announced on a website,Primary Transit,,,Kepler-835,2011,1.08,1.11
Kepler-836 b,Confirmed,,0.244,,,2016,Announced on a website,Primary Transit,,,Kepler-836,1003,1.03,1.04
Kepler-837 b,Confirmed,,0.228,,,2016,Announced on a website,Primary Transit,,,Kepler-837,846,0.85,0.81
Kepler-838 b,Confirmed,,0.244,,,2016,Announced on a website,Primary Transit,,,Kepler-838,1210,0.98,0.96
Kepler-839 b,Confirmed,,0.229,,,2016,Announced on a website,Primary Transit,,,Kepler-839,833,1.22,1.31
Kepler-84 b,Confirmed,,0.1965,,0.083,2013,Announced on a website,Primary Transit,,,Kepler-84,,1.022,1.035
Kepler-84 c,Confirmed,,0.2144,,0.108,2013,Announced on a website,Primary Transit,,,Kepler-84,,1.022,1.035
Kepler-84 d,Confirmed,,0.123,,0.052,2014,Announced on a website,Primary Transit,,,Kepler-84,,1.022,1.035
Kepler-84 e,Confirmed,,0.232,,0.181,2014,Announced on a website,Primary Transit,,,Kepler-84,,1.022,1.035
Kepler-84 f,Confirmed,,0.196,,0.25,2014,Announced on a website,Primary Transit,,,Kepler-84,,1.022,1.035
Kepler-840 b,Confirmed,,1.523,,,2016,Announced on a website,Primary Transit,,,Kepler-840,778,1.04,1.06
Kepler-841 b,Confirmed,,0.467,,,2016,Announced on a website,Primary Transit,,,Kepler-841,1052,0.85,0.81
Kepler-842 b,Confirmed,,0.143,,,2016,Announced on a website,Primary Transit,,,Kepler-842,552,0.78,0.73
Kepler-843 b,Confirmed,,0.231,,,2016,Announced on a website,Primary Transit,,,Kepler-843,1247,1.02,1.03
Kepler-844 b,Confirmed,,0.15,,,2016,Announced on a website,Primary Transit,,,Kepler-844,394,0.59,0.57
Kepler-845 b,Confirmed,,0.182,,,2016,Announced on a website,Primary Transit,,,Kepler-845,471,0.79,0.75
Kepler-846 b,Confirmed,,0.221,,,2016,Announced on a website,Primary Transit,,,Kepler-846,1233,0.94,0.91
Kepler-847 b,Confirmed,,0.105,,,2016,Announced on a website,Primary Transit,,,Kepler-847,529,0.83,0.77
Kepler-848 b,Confirmed,,0.152,,,2016,Announced on a website,Primary Transit,,,Kepler-848,797,1.01,1.2
Kepler-849 b,Confirmed,,0.637,,,2016,Announced on a website,Primary Transit,,,Kepler-849,747,1.23,1.64
Kepler-85 b,Confirmed,0.0465,0.178,,0.07891,2013,Published in a refereed paper,Primary Transit,,,Kepler-85,,0.95,0.84
Kepler-85 c,Confirmed,0.059,0.197,,0.10369,2013,Published in a refereed paper,Primary Transit,,,Kepler-85,,0.95,0.84
Kepler-85 d,Confirmed,,0.107,,0.13,2014,Announced on a website,Primary Transit,,,Kepler-85,,0.95,0.84
Kepler-85 e,Confirmed,,0.113,,0.163,2014,Announced on a website,Primary Transit,,,Kepler-85,,0.95,0.84
Kepler-850 b,Confirmed,,0.159,,,2016,Announced on a website,Primary Transit,,,Kepler-850,1535,1.06,1.09
Kepler-851 b,Confirmed,,0.15,,,2016,Announced on a website,Primary Transit,,,Kepler-851,869,0.89,0.85
Kepler-852 b,Confirmed,,0.227,,,2016,Announced on a website,Primary Transit,,,Kepler-852,854,1.19,1.16
Kepler-853 b,Confirmed,,0.151,,,2016,Announced on a website,Primary Transit,,,Kepler-853,610,1.3,1.55
Kepler-854 b,Confirmed,,1.492,,,2016,Announced on a website,Primary Transit,,,Kepler-854,741,1.17,1.27
Kepler-855 b,Confirmed,,0.745,,,2016,Announced on a website,Primary Transit,,,Kepler-855,1043,1.03,1.03
