2M1207 A,Confirmed,60,,,42,,,,2004,9/16/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2M1207, 2MASS J12073346-3932539",,,181.8875,-39.54833336,,,,,,52.4,,,,,,,,,
2M1207 b,Confirmed,5,,,42,,,0.877863,2004,12/4/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b",,,181.8875,-39.54833336,,,,,,52.4,,,,,,,,,
2M1510A a,Confirmed,40,1.57,20.902,0.063,0.31,88.5,,2020,3/24/2020,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,2MASSW  J1510478-281817 a,,,227.6991667,-28.30472223,,,,,,36.6,,,,,,,,,
2M1510A b,Confirmed,39.3,1.57,20.902,0.063,0.31,88.5,,2020,3/24/2020,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,,227.6991667,-28.30472223,,,,,,36.6,,,,,,,,,
2MASS J00413538-5621127 A,Confirmed,30,,,,,,,2009,2/27/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532,-56.35355144,,,,,,34.7133,,,,,,,,,
2MASS J00413538-5621127 B,Confirmed,15,,126,8.9,,,,2010,2/27/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532,-56.35355144,,,,,,34.7133,,,,,,,,,
2MASS J0249-0557 (AB) c,Confirmed,11.6,,,,,,,2018,7/31/2018,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.48495208,-5.959836363,,,,,,48.9,,,,,,,,,
2MASS J0249-0557A,Confirmed,48,,,,,,,2018,7/31/2018,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.48495208,-5.959836363,,,,,,48.9,,,,,,,,,
2MASS J0249-0557B,Confirmed,44,,,,,,,2018,7/31/2018,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.48495208,-5.959836363,,,,,,48.9,,,,,,,,,
2MASS J10475385+2124234,Confirmed,42,,,,,,,1999,4/11/2020,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,2MASS J1047+21,,,161.974394,21.40651901,,,,,,10.56,,,,,,,,,
2MASS J11011926-7732383 A,Confirmed,50,,,,,,,2004,2/27/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275,-77.54397502,,,,,,168,,,,,,,,,
2MASS J11011926-7732383 B,Confirmed,30,,,240,,,,2004,2/27/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275,-77.54397502,,,,,,168,,,,,,,,,
2MASS J11193254 AB,Confirmed,3.7,,32850,,,,,2017,6/30/2017,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2MASS J11193254 AB,169.8855958,-11.62963891,,,,,14.62,,,,,L7,0.01,,,,
2MASS J1155-7919 b,Confirmed,10,,,582,,,,2020,2/13/2020,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1155-7919,178.769,-79.32,14,,,,,101.15,,,,M3,0.005,,,,
2MASS J1450-7841 A,Confirmed,40,,,300,,,,2017,5/17/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 B,222.6708333,-78.69388891,,,,,,75,,0.04,,M9p,,,,,
2MASS J1450-7841 B,Confirmed,40,,,300,,,,2017,5/17/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 A,222.675,-78.69472225,,,,,,75,,0.04,,M8p,,,,,
2MASS J15344984-2952274 A,Confirmed,30.1,,,,,,,2008,3/21/2019,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,233.7076667,-29.8742778,,,,,,15.9,,,,,,,,,
2MASS J15344984-2952274 B,Confirmed,28.2,,5550,2.3,0.24,84.3,,2008,3/21/2019,178,2456024,,,,,,,,,,,4.9,Published in a refereed paper,Astrometry,Astrometry,,,,,233.7076667,-29.8742778,,,,,,15.9,,,,,,,,,
2MASS J2250+2325 b,Confirmed,30,,,518,,,,2017,2/26/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J2250+2325,342.5625,23.42611113,,,,,,41.5,,,,M3,0.15,,,,
30 Ari B b,Confirmed,,,335.1,0.995,0.289,,0.025254,2009,11/26/2009,307,2454538,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,30 Ari B,39.2416667,24.6480556,7.1,,,,,39.4,0.12,1.22,1.23,F6V,0.91,6484,,,
38 Vir b,Confirmed,,,825.9,1.82,0.03,,,2016,2/20/2017,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.2964895,-3.553099291,6.11,,,,,,0.07,1.18,1.45,F6 V,1.9,6557,,,"HD 111998, HIP 62875"
4 Uma b,Confirmed,,,269.3,0.87,0.432,,0.011083,2007,8/27/2014,23.81,2452987.394,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,4 Uma,130.0541667,64.3280556,5.79,,,,,78.5,-0.25,1.234,,K1III,4.604,4415,,,
42 Dra b,Confirmed,,,479.1,1.19,0.38,,0.01223,2009,3/22/2009,218.7,2452757.4,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.3,-0.46,0.98,22.03,K1.5III,9.49,4200,,,
47 Uma b,Confirmed,,,1078,2.1,0.032,,0.150322,1996,8/27/2014,334,2451917,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,,
47 Uma c,Confirmed,,,2391,3.6,0.098,,0.257695,2001,8/27/2014,295,2456441,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,,
47 Uma d,Confirmed,,,14002,11.6,0.16,,0.830351,2010,8/27/2014,110,2451736,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,,
51 Eri b,Confirmed,2.6,1.11,10260,11.1,0.49,136,,2015,10/24/2019,84,2452014.79,,,,,,,700,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.40055143,-2.473548598,5.223,,,,,29.4,-0.027,1.75,,F0IV,0.02,,IR Excess,,
51 Peg b,Confirmed,0.47,1.9,4.2308,0.052,0.0069,80,0.003537,1995,1/26/2017,54.1,2450404.4,,,,,,55.65,,,,0.5,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,,,,,14.7,0.2,1.11,1.266,G2 IV,4,5793,,,
55 Cnc b,Confirmed,0.84,,14.65314,0.11339,0.0023,89.73,0.009303,1996,6/11/2017,110,2453035,,,,,,71.47,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,,
55 Cnc c,Confirmed,,,44.373,0.23735,0.072,,0.019473,2002,6/11/2017,356,2453983,,,,,,10.48,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,,
